local_equipo,local_totalShots,local_shotsOnTarget,local_wonCorners,local_possessionPct,local_foulsCommitted,local_yellowCards,local_redCards,local_offsides,local_saves,local_blockedShots,visita_equipo,visita_totalShots,visita_shotsOnTarget,visita_wonCorners,visita_possessionPct,visita_foulsCommitted,visita_yellowCards,visita_redCards,visita_offsides,visita_saves,visita_blockedShots,event_id,fecha,temporada
Platense,6.0,1.0,1.0,27.5,20.0,3.0,0.0,2.0,3.0,3.0,Independiente,11.0,4.0,6.0,72.5,17.0,2.0,0.0,1.0,0.0,3.0,610208,2021-07-31 20:15:00,2021
Defensa y Justicia,14.0,5.0,7.0,63.1,12.0,3.0,0.0,1.0,2.0,4.0,Gimnasia La Plata,6.0,4.0,5.0,36.9,19.0,1.0,0.0,3.0,2.0,0.0,610210,2021-08-01 13:30:00,2021
Talleres (Córdoba),15.0,3.0,3.0,45.0,21.0,2.0,0.0,1.0,0.0,3.0,Boca Juniors,9.0,0.0,1.0,55.0,18.0,3.0,0.0,2.0,3.0,2.0,610207,2021-08-01 15:45:00,2021
River Plate,18.0,6.0,15.0,74.5,16.0,2.0,0.0,1.0,0.0,5.0,Huracán,4.0,1.0,3.0,25.5,11.0,3.0,1.0,4.0,6.0,2.0,610212,2021-08-01 18:00:00,2021
San Lorenzo,12.0,1.0,6.0,53.0,12.0,2.0,0.0,1.0,3.0,1.0,Banfield,10.0,4.0,6.0,47.0,17.0,1.0,0.0,3.0,0.0,1.0,610206,2021-08-01 20:15:00,2021
Argentinos Juniors,16.0,4.0,8.0,71.5,6.0,1.0,0.0,4.0,1.0,6.0,Central Córdoba (Santiago del Estero),6.0,2.0,0.0,28.5,18.0,3.0,0.0,1.0,3.0,2.0,610209,2021-08-02 16:45:00,2021
Patronato,7.0,1.0,3.0,42.8,18.0,3.0,0.0,0.0,3.0,1.0,Newell's Old Boys,8.0,3.0,1.0,57.2,12.0,2.0,0.0,1.0,1.0,1.0,610213,2021-08-02 16:45:00,2021
Estudiantes de La Plata,17.0,8.0,4.0,52.6,15.0,0.0,0.0,1.0,1.0,3.0,Arsenal Sarandi,8.0,1.0,5.0,47.4,12.0,3.0,0.0,6.0,4.0,3.0,610205,2021-08-02 19:00:00,2021
Rosario Central,14.0,4.0,8.0,55.7,14.0,2.0,0.0,1.0,3.0,3.0,Aldosivi,13.0,5.0,5.0,44.3,13.0,2.0,0.0,3.0,3.0,3.0,610204,2021-08-02 19:00:00,2021
Atlético Tucumán,8.0,3.0,3.0,36.5,15.0,3.0,0.0,0.0,4.0,4.0,Vélez Sarsfield,9.0,4.0,9.0,63.5,3.0,1.0,1.0,1.0,3.0,2.0,610216,2021-08-02 21:15:00,2021
