fecha,competicion,local,visita,elo_diff,squad_value_diff,ea_overall_diff,h2h_diff,goles_anotados_diff,goles_recibidos_diff,tiros_diff,tiros_arco_diff,corners_diff,posesion_diff,faltas_diff,resultado
2019-06-06,Amistosos 2018-19,Peru,Costa Rica,120.6,-0.008,0.27,0.75,-0.5,-0.29,0.0,0.0,0.0,0.0,0.0,2
2019-06-06,Amistosos 2018-19,Chile,Haiti,237.4,2.993,16.0,0.571,-1.2,-0.17,0.0,0.0,0.0,0.0,0.0,2
2019-06-06,Amistosos 2018-19,Iran,Syria,254.1,0.518,3.12,0.875,0.12,-0.4,-5.0,-2.2,-3.3,-17.5,2.1,2
2019-06-06,Nations League 2018,Netherlands,England,-24.2,-0.242,-0.73,-0.19,-0.21,-0.47,0.92,1.33,-0.7,1.04,0.58,2
2019-06-06,Amistosos 2018-19,Mexico,Venezuela,65.3,0.686,3.91,1.077,1.38,0.71,0.0,0.0,0.0,0.0,0.0,2
2019-06-07,Amistosos 2018-19,South Africa,Malawi,189.3,2.594,2.54,1.273,0.17,0.03,0.0,0.0,0.0,0.0,0.0,1
2019-06-07,Amistosos 2018-19,Uzbekistan,North Korea,252.0,0.892,-1.39,1.0,0.0,1.0,-1.0,-1.2,-0.3,8.15,-1.4,2
2019-06-07,Amistosos 2018-19,Ivory Coast,Comoros,435.2,3.417,12.23,-0.0,-0.48,0.25,0.0,0.0,0.0,0.0,0.0,2
2019-06-07,Amistosos 2018-19,China,Philippines,315.2,2.831,7.32,2.778,0.12,-0.05,-1.5,1.8,0.7,-0.75,-4.4,2
2019-06-07,Amistosos 2018-19,South Korea,Australia,93.4,0.306,0.18,-0.037,-0.43,-0.15,0.83,1.53,0.13,-1.33,0.57,2
2019-06-07,Amistosos 2018-19,Lesotho,Zimbabwe,-222.6,-1.927,0.18,-1.312,-1.4,-0.6,0.0,0.0,0.0,0.0,0.0,1
2019-06-07,Amistosos 2018-19,Tunisia,Iraq,37.7,1.97,7.25,0.222,-0.2,-0.12,0.5,0.13,-1.47,0.67,2.43,2
2019-06-07,Amistosos 2018-19,Uruguay,Panama,308.6,3.275,14.09,5.0,1.67,-0.29,3.17,2.47,-0.47,-2.07,1.1,2
2019-06-07,Amistosos 2018-19,Slovakia,Jordan,148.5,6.953,20.18,4.0,0.43,-0.21,0.0,-0.7,0.45,3.17,0.6,2
2019-06-07,Amistosos 2018-19,Kenya,Madagascar,81.4,1.208,-0.24,-0.444,0.25,0.67,-8.5,-1.2,0.0,25.0,0.0,2
2019-06-08,Amistosos 2018-19,Angola,Guinea-Bissau,44.5,1.899,-0.96,1.25,0.29,-0.54,0.0,0.0,0.0,0.0,0.0,2
